noc,medals,athletes
CHN,989,2664
DEN,597,1923
NED,1040,2939
USA,5637,9653
FIN,900,2347
NOR,1033,2216
ROU,653,1798
EST,50,354
FRA,1777,6170
MAR,23,460
ESP,489,2637
EGY,27,1000
IRI,68,526
BUL,342,1502
ITA,1637,4935
CHA,0,27
AZE,44,193
SUD,1,81
RUS,1165,2428
ARG,274,1848
CUB,409,1283
BLR,139,763
GRE,255,1709
CMR,22,227
TUR,95,808
CHI,32,525
MEX,110,1549
URS,2503,2948
NCA,0,95
HUN,1135,2761
NGR,99,565
ALG,17,373
KUW,2,192
BRN,3,90
PAK,121,363
IRQ,1,194
UAR,2,74
LIB,4,176
QAT,5,141
MAS,16,301
GER,2165,4872
CAN,1352,4811
IRL,35,800
AUS,1320,3820
RSA,131,963
ERI,1,26
TAN,2,110
JOR,1,61
TUN,13,416
LBA,0,68
BEL,468,2078
DJI,1,28
PLE,0,20
COM,0,15
KAZ,77,694
BRU,0,9
IND,197,892
KSA,6,149
SYR,3,132
MDV,0,31
ETH,53,232
UAE,2,78
YAR,0,10
INA,41,275
PHI,10,389
SGP,9,172
UZB,34,295
KGZ,3,129
TJK,4,45
EUN,279,604
JPN,913,4067
CGO,0,74
SUI,691,2883
BRA,475,2053
FRG,586,1708
GDR,1005,1360
MON,1,82
ISR,9,353
URU,63,366
SWE,1536,3787
ISV,1,150
SRI,2,93
ARM,16,146
CIV,3,124
KEN,106,515
BEN,0,54
UKR,199,1134
GBR,2068,6281
GHA,23,245
SOM,0,22
LAT,35,445
NIG,2,42
MLI,0,75
AFG,2,103
POL,565,2970
CRC,4,156
PAN,3,86
GEO,32,167
SLO,48,420
CRO,149,428
GUY,1,75
NZL,228,1326
POR,41,730
PAR,17,104
ANG,0,163
VEN,15,549
COL,28,617
BAN,0,38
PER,15,353
ESA,0,126
PUR,9,562
UGA,7,178
HON,0,132
ECU,2,158
TKM,0,41
MRI,1,88
SEY,0,64
TCH,488,2093
LUX,8,379
MTN,0,22
CZE,144,734
SKN,0,19
TTO,32,167
DOM,7,208
VIN,0,28
JAM,157,370
LBR,0,42
SUR,2,33
NEP,1,80
MGL,26,292
AUT,450,2337
PLW,0,21
LTU,61,320
TOG,1,42
NAM,4,40
AHO,1,55
ISL,17,297
ASA,0,29
SAM,0,53
RWA,0,37
DMA,0,17
HAI,7,76
MLT,0,82
CYP,1,120
GUI,0,60
BIZ,0,52
YMD,0,5
KOR,638,2393
THA,30,462
BER,1,121
ANZ,29,53
SCG,64,205
SLE,0,62
PNG,0,61
YEM,0,28
IOA,5,76
OMA,0,42
FIJ,13,128
VAN,0,25
MDA,8,131
YUG,390,1270
BAH,40,162
GUA,1,240
SRB,85,229
IVB,0,28
MOZ,2,52
CAF,0,50
MAD,0,76
MAL,0,40
BIH,0,73
GUM,0,66
CAY,0,39
SVK,47,457
BAR,1,115
GBS,0,15
TLS,0,8
COD,0,69
GAB,1,48
SMR,0,92
LAO,0,47
BOT,1,62
ROT,0,10
CAM,0,45
PRK,67,405
SOL,0,20
SEN,1,234
CPV,0,13
CRT,0,8
GEQ,0,26
BOL,0,89
SAA,0,36
AND,0,61
ANT,0,70
ZIM,22,196
GRN,2,44
HKG,4,321
LCA,0,21
FSM,0,18
MYA,0,86
MAW,0,59
ZAM,2,145
RHO,0,10
TPE,49,566
STP,0,13
MKD,1,47
BOH,12,66
TGA,1,38
LIE,9,131
MNE,14,55
GAM,0,33
COK,0,30
ALB,0,45
WIF,5,13
SWZ,0,42
BUR,0,32
NBO,0,2
BDI,2,25
ARU,0,32
NRU,0,10
VNM,0,39
VIE,4,104
BHU,0,21
MHL,0,12
KIR,0,9
UNK,0,2
TUV,0,6
NFL,0,1
KOS,1,8
SSD,0,3
LES,0,51
