year,season,noc,height_male,weight_male,height_female,weight_female,medals
1920,Summer,FIN,176.31,73.67,165.0,58.0,30
1924,Summer,FRA,173.6,72.88,160.0,45.0,32
1924,Summer,USA,178.06,71.23,167.5,64.75,54
1924,Winter,FIN,169.62,68.62,165.0,58.0,8
1928,Summer,CAN,172.18,59.91,169.36,58.0,13
1928,Summer,FRA,174.85,72.92,167.0,57.25,6
1928,Summer,GER,178.07,72.52,167.79,61.21,17
1928,Summer,JPN,166.91,60.82,157.0,45.0,2
1928,Summer,NED,176.44,68.22,181.0,69.0,2
1928,Summer,POL,174.98,70.82,169.67,63.67,13
1928,Summer,RSA,182.75,73.25,172.0,65.0,1
1928,Summer,USA,180.41,74.18,169.64,57.55,50
1928,Winter,CAN,178.0,80.5,165.0,59.0,2
1928,Winter,FIN,170.53,70.2,165.0,58.0,3
1932,Summer,CAN,176.56,67.7,162.89,53.22,15
1932,Summer,GBR,177.94,68.12,167.4,59.4,10
1932,Summer,GER,179.33,75.24,170.92,65.17,8
1932,Summer,JPN,166.8,60.12,164.0,60.0,7
1932,Summer,NED,183.0,77.0,181.0,69.0,0
1932,Summer,POL,172.42,74.15,169.75,62.0,18
1932,Summer,RSA,179.33,69.0,172.0,65.0,1
1932,Summer,USA,180.55,74.59,167.47,55.63,60
1932,Winter,CAN,172.5,84.0,165.0,59.0,2
1936,Summer,AUT,179.67,69.33,166.43,61.57,0
1936,Summer,CAN,179.83,71.14,167.67,54.33,6
1936,Summer,FIN,174.65,69.74,164.56,57.0,16
1936,Summer,FRA,176.81,75.54,167.0,59.0,5
1936,Summer,GBR,176.93,67.59,171.0,60.25,11
1936,Summer,GER,177.1,73.24,169.78,61.28,27
1936,Summer,HUN,178.38,72.45,166.0,58.0,4
1936,Summer,JPN,170.48,59.16,159.0,54.0,8
1936,Summer,NED,180.86,76.29,175.0,63.0,2
1936,Summer,POL,175.27,72.75,160.4,55.8,9
1936,Summer,SWE,183.5,78.92,169.0,65.0,3
1936,Summer,USA,181.47,74.98,169.28,58.83,49
1936,Summer,YUG,182.6,79.93,171.8,62.8,0
1936,Winter,CAN,176.67,71.67,165.0,59.0,3
1936,Winter,GER,163.0,63.0,155.0,52.0,0
1948,Summer,ARG,177.0,75.35,170.2,65.2,3
1948,Summer,AUS,182.92,76.77,172.0,57.0,3
1948,Summer,AUT,182.75,78.5,168.0,68.67,2
1948,Summer,BRA,182.67,73.33,176.0,69.0,2
1948,Summer,CHI,180.62,72.77,171.0,59.17,0
1948,Summer,DEN,177.11,73.33,165.67,55.67,5
1948,Summer,FIN,176.41,71.1,165.8,56.3,17
1948,Summer,FRA,177.14,74.23,170.08,61.25,26
1948,Summer,GBR,175.81,71.36,167.52,59.83,7
1948,Summer,HUN,180.08,75.59,166.0,61.75,13
1948,Summer,ITA,177.67,76.17,166.5,60.5,4
1948,Summer,LUX,173.22,72.34,171.5,57.0,0
1948,Summer,MEX,176.36,71.75,161.0,56.5,0
1948,Summer,NED,178.78,70.78,175.0,63.0,6
1948,Summer,POL,177.43,75.09,164.67,62.0,0
1948,Summer,RSA,179.6,73.4,165.0,59.0,0
1948,Summer,SUI,176.07,75.21,170.0,56.0,2
1948,Summer,SWE,181.4,74.56,168.6,64.0,20
1948,Summer,TCH,182.57,80.14,168.5,72.0,2
1948,Summer,USA,181.44,77.46,168.0,58.26,57
1948,Summer,YUG,178.21,73.57,178.5,71.0,1
1948,Winter,HUN,168.0,63.0,158.0,48.0,0
1948,Winter,USA,175.61,72.0,166.29,56.29,2
1952,Summer,ARG,173.72,75.97,160.7,57.7,2
1952,Summer,AUS,184.71,77.0,171.33,61.33,4
1952,Summer,AUT,173.27,69.18,171.0,67.33,1
1952,Summer,BRA,180.21,74.93,159.0,60.0,2
1952,Summer,BUL,173.2,72.2,160.67,55.33,0
1952,Summer,CAN,175.44,78.14,170.0,62.0,0
1952,Summer,CHI,183.92,76.25,176.0,65.0,0
1952,Summer,DEN,178.3,75.6,173.0,55.0,1
1952,Summer,FIN,177.06,72.47,164.06,56.02,28
1952,Summer,FRA,178.11,74.65,164.62,55.0,15
1952,Summer,GBR,175.67,69.05,162.25,57.66,8
1952,Summer,GER,176.08,72.2,164.18,59.41,17
1952,Summer,HUN,178.52,74.53,162.17,57.42,26
1952,Summer,ITA,176.55,76.51,161.33,55.0,9
1952,Summer,JPN,165.87,60.18,159.0,57.0,4
1952,Summer,NED,181.0,74.25,172.0,64.88,1
1952,Summer,NOR,179.1,76.95,167.0,58.0,2
1952,Summer,NZL,191.0,81.0,176.0,65.0,2
1952,Summer,POL,171.11,67.34,161.71,56.3,3
1952,Summer,POR,173.65,73.29,164.0,63.0,0
1952,Summer,ROU,171.36,67.86,179.0,85.0,1
1952,Summer,RSA,185.25,80.25,165.0,59.0,1
1952,Summer,SUI,172.18,69.53,170.0,56.0,8
1952,Summer,SWE,177.5,72.14,171.8,61.8,11
1952,Summer,TCH,174.11,74.7,161.94,58.35,9
1952,Summer,URS,178.07,76.63,170.27,68.41,25
1952,Summer,URU,181.0,81.33,162.0,65.0,2
1952,Summer,USA,182.2,78.74,164.59,56.55,79
1952,Summer,YUG,176.27,73.43,161.0,55.78,3
1952,Winter,FIN,176.07,69.53,163.6,57.1,12
1952,Winter,HUN,168.0,63.0,158.0,48.0,2
1952,Winter,POL,171.36,71.45,169.0,54.0,0
1952,Winter,USA,180.25,79.92,171.67,61.5,4
1956,Summer,ARG,174.56,77.62,162.0,70.0,1
1956,Summer,AUS,178.55,73.2,169.63,60.68,33
1956,Summer,AUT,176.35,72.0,171.0,55.0,3
1956,Summer,BEL,175.48,71.37,168.0,61.0,2
1956,Summer,BUL,176.33,76.79,159.5,55.5,7
1956,Summer,CAN,181.85,78.35,160.83,53.0,11
1956,Summer,CHI,171.64,73.09,176.0,70.0,2
1956,Summer,CUB,180.33,75.33,165.0,67.0,0
1956,Summer,DEN,180.07,76.73,173.0,55.0,3
1956,Summer,FIN,175.35,71.25,172.0,61.0,25
1956,Summer,FRA,177.64,74.97,163.59,56.18,13
1956,Summer,GBR,177.04,70.5,168.14,61.69,23
1956,Summer,GER,178.92,74.82,167.93,64.75,29
1956,Summer,HUN,177.7,75.04,162.58,58.08,29
1956,Summer,IRL,177.18,70.64,159.0,57.0,1
1956,Summer,ITA,177.81,78.6,161.37,55.13,16
1956,Summer,JPN,165.12,61.5,156.0,52.48,13
1956,Summer,MEX,170.36,69.91,172.0,61.0,0
1956,Summer,NZL,178.22,72.0,168.0,60.0,2
1956,Summer,POL,174.73,73.28,161.31,57.07,19
1956,Summer,ROU,170.96,71.68,159.44,56.34,12
1956,Summer,SWE,177.38,72.68,166.5,58.83,10
1956,Summer,TCH,173.41,71.83,164.15,61.85,4
1956,Summer,URS,176.89,75.71,163.6,58.91,80
1956,Summer,USA,179.79,76.46,165.58,58.91,122
1956,Summer,YUG,179.5,81.36,173.0,73.67,6
1956,Winter,AUS,162.0,56.0,167.0,57.0,0
1956,Winter,AUT,169.73,72.73,168.0,68.0,1
1956,Winter,CAN,176.72,76.22,162.5,55.0,15
1956,Winter,FIN,172.41,68.55,163.33,56.33,12
1956,Winter,GBR,178.0,73.4,137.0,36.0,0
1956,Winter,GER,174.29,75.64,169.5,62.25,0
1956,Winter,HUN,168.0,63.0,158.0,48.0,2
1956,Winter,ITA,174.27,73.82,175.33,64.67,5
1956,Winter,POL,172.15,71.42,163.25,59.5,1
1956,Winter,SWE,180.46,77.85,172.0,62.0,4
1956,Winter,URS,173.19,74.62,160.86,59.0,23
1956,Winter,USA,177.78,78.59,173.0,59.0,18
1960,Summer,ARG,175.5,73.82,167.0,60.0,4
1960,Summer,AUS,177.3,72.47,166.67,61.18,42
1960,Summer,AUT,175.23,71.99,164.43,60.55,3
1960,Summer,BEL,175.19,72.2,160.55,52.7,4
1960,Summer,BRA,179.9,76.43,159.0,60.0,8
1960,Summer,BUL,174.11,71.5,161.65,55.32,7
1960,Summer,CAN,179.23,74.26,163.16,55.25,9
1960,Summer,CHI,172.62,67.62,176.0,70.0,0
1960,Summer,CUB,173.56,72.11,156.36,44.27,0
1960,Summer,DEN,176.84,71.54,169.0,63.27,23
1960,Summer,ESP,175.57,72.58,162.0,57.2,14
1960,Summer,FIN,176.95,71.58,162.05,53.88,6
1960,Summer,FRA,175.02,71.6,162.5,56.64,12
1960,Summer,GBR,177.02,71.85,164.15,59.0,28
1960,Summer,GER,176.87,73.65,167.16,59.1,89
